,station_name,closeness
910GSTOTNHM,South Tottenham,0.05415117719950434
940GZZLUEPY,East Putney,0.05407746566019057
910GKLBRNHR,Kilburn High Road,0.05407077456075229
910GGNRSBRY,none,0.05407077456075229
940GZZLUNFD,Northfields,0.05397727272727273
940GZZLUFYC,Finchley Central,0.05394395753610665
910GSEVNSIS,Seven Sisters (Rail),0.05384425825529818
940GZZLUHCL,Hendon Central,0.05378461538461538
940GZZLUALP,Alperton,0.05347528144884973
910GWDST,Wood Street,0.053422982885085575
940GZZLUTBY,Tooting Broadway,0.05338382604446616
940GZZLUHSN,Harlesden,0.05326020719073735
940GZZLURMD,Richmond,0.053066180935033395
940GZZLURSP,Ruislip,0.05298254122211445
940GZZDLRAL,Royal Albert,0.05256826657043186
910GCSEAH,Imperial Wharf,0.052498798654493035
940GZZLUPVL,Perivale,0.05246728298715332
940GZZLUSGT,Southgate,0.05243580513558915
940GZZDLKGV,King George V,0.052416936547918916
910GSHRDHST,Shoreditch High Street,0.052210274790919955
940GZZLUMPK,Moor Park,0.05210444735900799
910GGODMAYS,Goodmayes,0.05207340324118208
940GZZLUBEC,Becontree,0.05204239609384304
940GZZDLBOW,Bow Church,0.05193724744473496
910GNWEMBLY,none,0.051703738760056794
940GZZLUCWL,Chigwell,0.05167317015490126
940GZZLULGN,Loughton,0.051612141254281325
940GZZLUBKE,Barkingside,0.051551256340686566
940GZZDLISL,Island Gardens,0.0515147942944713
910GBLCHSRD,Blackhorse Road (Rail),0.051448080998351776
940GZZLUSFS,Southfields,0.05133325502173147
910GKEWGRDN,none,0.05131517144199155
910GSHMPSTD,South Hampstead,0.05131517144199155
940GZZLUBOS,Boston Manor,0.05131517144199155
940GZZLUWFN,West Finchley,0.051224944320712694
910GBRUCGRV,Bruce Grove,0.051206936958050155
940GZZLUMHL,Mill Hill East,0.05118894225137636
940GZZLUCND,Colindale,0.05106929998831366
910GHGHMSPK,Highams Park,0.05073136754121198
940GZZLUCSD,Colliers Wood,0.050707820840102114
940GZZLUSGP,Stonebridge Park,0.05063144479202873
940GZZLUICK,Ickenham,0.05034562211981567
910GCLPHMJ1,Clapham Junction,0.05029926335174954
910GWCHAPEL,Whitechapel (Rail),0.05005727376861398
940GZZDLBPK,Beckton Park,0.04998284341759122
940GZZLUGFD,Greenford,0.04990293479502113
940GZZLUOAK,Oakwood,0.049840328467153285
940GZZDLWLA,Woolwich Arsenal,0.04981192294540066
910GCHDWLHT,Chadwell Heath,0.049580213297027456
940GZZLURKW,Rickmansworth,0.04957458876914351
940GZZLUCXY,Croxley,0.049540868382269586
940GZZLUDGY,Dagenham Heathway,0.049529638444973365
940GZZDLDEV,Devons Road,0.049389692585895116
910GSKENTON,none,0.0492560865644725
940GZZLUGGH,Grange Hill,0.04920617047629772
940GZZLUFLP,Fairlop,0.049150826678663814
940GZZLUDBN,Debden,0.04910664119563996
940GZZDLCUT,Cutty Sark,0.04904051172707889
910GWLTHQRD,Walthamstow Queens Road,0.048991031390134526
940GZZLUOSY,Osterley,0.04889236965764153
940GZZLUWIP,Wimbledon Park,0.04884318766066838
910GEUSTON,Euston (Rail),0.04881590705987489
910GRICHMND,none,0.04881590705987489
910GWHHRTLA,White Hart Lane,0.0488050033504579
940GZZLUWOP,Woodside Park,0.04875599687604597
940GZZLUBTK,Burnt Oak,0.04860415971527083
910GWNDSWRD,Wandsworth Road,0.04838352524357839
910GCHINGFD,Chingford,0.04828729281767956
