,station_name,degree
910GSACTON,South Acton,0.004576659038901602
910GGNRSBRY,none,0.004576659038901602
940GZZLUGBY,Gunnersbury,0.004576659038901602
910GKEWGRDN,none,0.004576659038901602
940GZZLUKWG,Kew Gardens,0.004576659038901602
940GZZLUWHW,West Harrow,0.004576659038901602
940GZZLUEAE,Eastcote,0.004576659038901602
940GZZLURSM,Ruislip Manor,0.004576659038901602
940GZZLURSP,Ruislip,0.004576659038901602
940GZZLUICK,Ickenham,0.004576659038901602
940GZZLUHGD,Hillingdon,0.004576659038901602
940GZZLUEBY,Ealing Broadway,0.004576659038901602
940GZZLUNEN,North Ealing,0.004576659038901602
940GZZLUPKR,Park Royal,0.004576659038901602
940GZZLUALP,Alperton,0.004576659038901602
940GZZLUSUT,Sudbury Town,0.004576659038901602
940GZZLUSUH,Sudbury Hill,0.004576659038901602
940GZZLUSHH,South Harrow,0.004576659038901602
940GZZLUWBN,West Brompton,0.004576659038901602
940GZZLUWIP,Wimbledon Park,0.004576659038901602
940GZZLUSFS,Southfields,0.004576659038901602
940GZZLUSKT,South Kenton,0.004576659038901602
940GZZLUEHM,East Ham,0.004576659038901602
940GZZLUUPK,Upton Park,0.004576659038901602
940GZZLUPLW,Plaistow,0.004576659038901602
940GZZLUBBB,Bromley-by-Bow,0.004576659038901602
940GZZLUBWR,Bow Road,0.004576659038901602
940GZZLUSGN,Stepney Green,0.004576659038901602
940GZZLUWPL,Whitechapel,0.004576659038901602
940GZZLUALD,Aldgate,0.004576659038901602
940GZZLUCST,Cannon Street,0.004576659038901602
940GZZLUEPY,East Putney,0.004576659038901602
940GZZLUMSH,Mansion House,0.004576659038901602
940GZZLUBKF,Blackfriars,0.004576659038901602
940GZZLUTMP,Temple,0.004576659038901602
940GZZLUSJP,St. James's Park,0.004576659038901602
940GZZLUBWT,Bayswater,0.004576659038901602
940GZZLUFBY,Fulham Broadway,0.004576659038901602
940GZZLUPSG,Parsons Green,0.004576659038901602
940GZZLUPYB,Putney Bridge,0.004576659038901602
940GZZLUSSQ,Sloane Square,0.004576659038901602
940GZZLUSGT,Southgate,0.004576659038901602
940GZZLUUPY,Upney,0.004576659038901602
940GZZLUASG,Arnos Grove,0.004576659038901602
910GHGHMSPK,Highams Park,0.004576659038901602
910GWDST,Wood Street,0.004576659038901602
910GWLTWCEN,Walthamstow Central (Rail),0.004576659038901602
910GSTJMSST,St James Street,0.004576659038901602
910GCLAPTON,Clapton,0.004576659038901602
910GEMRSPKH,Emerson Park,0.004576659038901602
910GBHILLPK,Bush Hill Park,0.004576659038901602
910GLIVST,Liverpool Street (Rail),0.004576659038901602
910GTHBLDSG,Theobalds Grove,0.004576659038901602
910GTURKYST,Turkey Street,0.004576659038901602
910GSBURY,Southbury,0.004576659038901602
910GSIVRST,Silver Street,0.004576659038901602
910GWHHRTLA,White Hart Lane,0.004576659038901602
910GBRUCGRV,Bruce Grove,0.004576659038901602
910GSEVNSIS,Seven Sisters (Rail),0.004576659038901602
910GSTMFDHL,Stamford Hill,0.004576659038901602
910GSTKNWNG,Stoke Newington,0.004576659038901602
910GRCTRYRD,Rectory Road,0.004576659038901602
910GLONFLDS,London Fields,0.004576659038901602
940GZZLUVXL,Vauxhall,0.004576659038901602
940GZZLUPCO,Pimlico,0.004576659038901602
940GZZLUHAI,Highbury & Islington,0.004576659038901602
940GZZLUCGN,Covent Garden,0.004576659038901602
940GZZLUBDS,Bounds Green,0.004576659038901602
940GZZLUWOG,Wood Green,0.004576659038901602
940GZZLUTPN,Turnpike Lane,0.004576659038901602
940GZZLUMRH,Manor House,0.004576659038901602
940GZZLUASL,Arsenal,0.004576659038901602
940GZZLUHWY,Holloway Road,0.004576659038901602
940GZZLUCAR,Caledonian Road,0.004576659038901602
940GZZLURSQ,Russell Square,0.004576659038901602
940GZZLUHPC,Hyde Park Corner,0.004576659038901602
940GZZLUSVS,Seven Sisters,0.004576659038901602
940GZZLUKNB,Knightsbridge,0.004576659038901602
940GZZLUSEA,South Ealing,0.004576659038901602
940GZZLUCWP,Chiswick Park,0.004576659038901602
940GZZLUSFB,Stamford Brook,0.004576659038901602
940GZZLURVP,Ravenscourt Park,0.004576659038901602
940GZZLUWKN,West Kensington,0.004576659038901602
940GZZLUBLR,Blackhorse Road,0.004576659038901602
940GZZLUTMH,Tottenham Hale,0.004576659038901602
940GZZLUBKG,Barking,0.004576659038901602
940GZZLUMMT,Monument,0.004576659038901602
940GZZLUBEC,Becontree,0.004576659038901602
940GZZLUWTA,West Acton,0.004576659038901602
940GZZLUBKH,Buckhurst Hill,0.004576659038901602
940GZZLUSWF,South Woodford,0.004576659038901602
940GZZLUSNB,Snaresbrook,0.004576659038901602
940GZZLULYN,Leyton,0.004576659038901602
940GZZLUSPU,St. Paul's,0.004576659038901602
940GZZLUCHL,Chancery Lane,0.004576659038901602
940GZZLUMBA,Marble Arch,0.004576659038901602
940GZZLULGT,Lancaster Gate,0.004576659038901602
940GZZLUQWY,Queensway,0.004576659038901602
940GZZLUHPK,Holland Park,0.004576659038901602
940GZZLUSBC,Shepherd's Bush,0.004576659038901602
940GZZLUWCY,White City,0.004576659038901602
940GZZLUEAN,East Acton,0.004576659038901602
940GZZLUHGR,Hanger Lane,0.004576659038901602
940GZZLUDGY,Dagenham Heathway,0.004576659038901602
940GZZLUPVL,Perivale,0.004576659038901602
940GZZLUGFD,Greenford,0.004576659038901602
940GZZLUNHT,Northolt,0.004576659038901602
940GZZLUSRP,South Ruislip,0.004576659038901602
940GZZLULGN,Loughton,0.004576659038901602
940GZZLUDBN,Debden,0.004576659038901602
940GZZLUTHB,Theydon Bois,0.004576659038901602
940GZZLUQBY,Queensbury,0.004576659038901602
910GKTON,none,0.004576659038901602
910GHROW,none,0.004576659038901602
940GZZLUKEN,Kenton,0.004576659038901602
940GZZDLRVC,Royal Victoria,0.004576659038901602
940GZZDLSTL,Star Lane,0.004576659038901602
940GZZDLABR,Abbey Road,0.004576659038901602
940GZZDLSHS,Stratford High Street,0.004576659038901602
940GZZLUCPK,Canons Park,0.004576659038901602
940GZZLURVY,Roding Valley,0.004576659038901602
940GZZLUWSD,Wanstead,0.004576659038901602
940GZZLUCWL,Chigwell,0.004576659038901602
940GZZLUGGH,Grange Hill,0.004576659038901602
940GZZLUHLT,Hainault,0.004576659038901602
940GZZLUFLP,Fairlop,0.004576659038901602
940GZZLUBKE,Barkingside,0.004576659038901602
940GZZLUNBP,Newbury Park,0.004576659038901602
940GZZLUGTH,Gants Hill,0.004576659038901602
